filepath,label,source,generator,split
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01443537_13305.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01484850_27948.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01484850_28725.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01443537_2594.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01440764_13966.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01484850_5127.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01484850_1500.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01484850_9558.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01443537_12914.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01484850_18709.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01484850_2854.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_20966.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01440764_26234.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01440764_32263.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01443537_23597.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01443537_2125.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01484850_13033.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_21226.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01484850_18002.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01484850_1120.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01484850_10538.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_23868.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01440764_12586.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01484850_6560.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01443537_18335.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01440764_13116.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01443537_21922.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01484850_12606.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01443537_785.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01443537_4289.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01484850_23908.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01440764_5514.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01484850_3955.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01484850_8288.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01443537_13458.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01443537_20626.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01484850_9419.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01440764_3546.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_550.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01443537_1361.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01440764_3197.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01440764_320.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01440764_5432.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01484850_20875.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01440764_7632.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01491361_10000.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01440764_5879.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01484850_28440.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01443537_10712.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01484850_29569.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01484850_17957.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01484850_21930.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01484850_8886.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01484850_24213.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01484850_8303.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01484850_1086.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01440764_9706.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01484850_9040.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01443537_23671.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01484850_11236.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01443537_17047.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01440764_14634.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01443537_11192.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01484850_18013.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01484850_17229.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01440764_8442.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01484850_18051.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01440764_39.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01440764_14549.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01443537_21873.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01443537_16219.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01443537_19444.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_15992.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01443537_10176.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01443537_8693.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01443537_21067.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01443537_15991.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01484850_11174.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01440764_10317.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\BigGAN\imagenet_ai_0419_biggan\train\nature\n01484850_15685.JPEG,real,genimage,BigGAN,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01440764_6500.JPEG,real,genimage,Midjourney,train
