filepath,label,source,generator,split
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01443537_5086.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01443537_3601.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01484850_8611.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01443537_22740.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01440764_1302.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_4173.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_6520.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01443537_19678.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01443537_24019.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01443537_6428.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01443537_12857.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01443537_17070.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_22725.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01484850_17607.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01443537_2858.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_855.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01440764_17896.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01440764_1244.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01484850_24881.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01440764_1764.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01484850_5310.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01443537_10353.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01484850_8651.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01484850_5221.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01440764_8673.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_3261.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_8475.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01443537_13637.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01440764_6494.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01440764_13257.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01484850_17805.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01443537_10127.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_20680.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01484850_16711.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01484850_2854.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_12211.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01484850_22973.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_14709.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_20388.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_12384.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01443537_11688.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01440764_4934.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_16464.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01484850_2801.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01443537_9930.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01443537_23349.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01443537_17085.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01440764_6964.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01484850_8994.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01484850_14377.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01484850_8162.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01440764_1905.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01440764_6870.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01440764_14025.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01443537_11709.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01484850_33542.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01440764_11762.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01440764_9893.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01443537_23802.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01440764_31953.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01440764_11787.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01440764_12250.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01440764_6375.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01484850_2506.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01484850_17957.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01484850_3305.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01440764_27713.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01443537_2456.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01440764_7715.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01484850_9040.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01484850_32316.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01440764_21790.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01484850_7125.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01440764_8852.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01484850_4404.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01443537_10957.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\ADM\imagenet_ai_0508_adm\train\nature\n01443537_16422.JPEG,real,genimage,ADM,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01484850_32023.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01440764_25148.JPEG,real,genimage,glide,train
D:\firinne_datasets\genimage\Midjourney\imagenet_midjourney\train\nature\n01484850_22866.JPEG,real,genimage,Midjourney,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01484850_29201.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01484850_2182.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\stable_diffusion_v_1_5\imagenet_ai_0424_sdv5\train\nature\n01484850_9905.JPEG,real,genimage,stable_diffusion_v_1_5,train
D:\firinne_datasets\genimage\glide\imagenet_glide\train\nature\n01484850_7788.JPEG,real,genimage,glide,train
